Montreal,P1,P2,P3
12:00 AM,Ljungblom,Poulin,Stacey
,Gardiner,O'Neill,Boreen
,Grant-Mentis,Labelle,Murphy
,Greig,DeGeorge,Dalton
,Tabin,Ambrose,
,Keopple,Boulier,
,Kjellbin,Barnes,
,Wilgren,,
,,,
12:00 AM,Ljungblom,Poulin,Stacey
,Gardiner,O'Neill,Boreen
,Grant-Mentis,Labelle,Dalton
,Dubois,DeGeorge,Greig
,Tabin,Ambrose,
,Kjellbin,Barnes,
,Keopple,Boulier,
,Wilgren,,
,,,
12:00 AM,Grant-Mentis,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Gardiner,Labelle,Dalton
,Dubois,DeGeorge,Greig
,Tabin,Ambrose,
,Kjellbin,Barnes,
,Keopple,Boulier,
,Wilgren,,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Labelle,Murphy
,Dubois,DeGeorge,Dalton
,Tabin,Ambrose,
,Barnes,Kjellbin,
,Keopple,Boulier,
,Wilgren,,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Labelle,Murphy
,Dubois,DeGeorge,Dalton
,Greig,,
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Labelle,Murphy
,Dubois,DeGeorge,Dalton
,Greig,,
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,,
12:00 AM,Ljungblom,Poulin,Boreen
,Gardiner,O'Neill,Stacey
,Dalton,Labelle,Murphy
,Greig,DeGeorge,Grant-Mentis
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,Daoust,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,,,Murphy
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,,,Murphy
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Ljungblom,O'Neill,Murphy
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,Boulier,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Ljungblom,O'Neill,Murphy
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,Boulier,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Ljungblom,O'Neill,Murphy
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Kjellbin,
,,Boulier,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Ljungblom,O'Neill,Murphy
,Grant-Mentis,Labelle,Dalton
,Greig,DeGeorge,Dubois
,,,Stacey
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Boulier,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Greig,O'Neill,Stacey
,Grant-Mentis,Labelle,Dalton
,Ljungblom,Murphy,Dubois
,Wilgren,Barnes,
,Keopple,Ambrose,
,Tabin,Boulier,
,,Kjellbin,
,,,
12:00 AM,Greig,O'Neill,Stacey
,Grant-Mentis,Labelle,Dalton
,Ljungblom,DeGeorge,Murphy
,Tabin,Ambrose,
,Keopple,Barnes,
,Wilgren,Boulier,
,,Nadeau,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Greig,O'Neill,Stacey
,Grant-Mentis,Labelle,Dalton
,Murphy,DeGeorge,David
,Tabin,Ambrose,
,Keopple,Barnes,
,Wilgren,Boulier,
,,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Boreen
,Murphy,O'Neill,Stacey
,Greig,Grant-Mentis,Dalton
,Ljungblom,DeGeorge,David
,Keopple,Barnes,
,Wilgren,Boulier,
,Tabin,Kjellbin,
,,Nadeau,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Murphy,Dalton
,Greig,DeGeorge,David
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Ljungblom,O'Neill,Boreen
,Grant-Mentis,Murphy,Dalton
,Greig,DeGeorge,Dubois
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,Kjellbin,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Grant-Mentis,O'Neill,Boreen
,Ljungblom,Murphy,Dalton
,Greig,DeGeorge,Dubois
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,Laskova,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Dubois,O'Neill,Boreen
,Grant-Mentis,DeGeorge,Dalton
,Greig,Murphy,Ljungblom
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,Laskova,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Grant-Mentis,O'Neill,Boreen
,Ljungblom,DeGeorge,Murphy
,Greig ,Dubois,Dalton
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,Laskova,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Greig ,O'Neill,Grant-Mentis
,Dalton,Dubois,Boreen
,Ljungblom,DeGeorge,Murphy
,Tabin,Ambrose,
,Keopple,Barnes,
,Wilgren,Boulier,
,,Kjellbin,
,,,
