Ottawa,P1,P2,P3
12:00 AM,Vanisova,Mrazova,Scamurra
,Meixner,Serdachny,Clark
,Snodgrass,Hughes,Leslie
,Vasko,Darkangelo,McMahon
,Roese,Harmon,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Scamurra,Mrazova,Vanisova
,Meixner,Serdachny,Clark
,Snodgrass,Hughes,Leslie
,Vasko,Darkangelo,McMahon
,Roese,Harmon,
,Tejralova,Savolainen,
,Markowski,Bell,
,Boyd,,
,,,
12:00 AM,Vanisova,Mrazova,Jenner
,Meixner,Serdachny,Clark
,Scamurra,Hughes,Leslie
,Snodgrass,Darkangelo,McMahon
,Vasko,,
,Harmon,Roese,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Vanisova,Mrazova,Scamurra
,Serdachny,Darkangelo,Jenner
,Meixner,Snodgrass,Clark
,House,McMahon,Leslie
,Roese,Harmon,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Serdachny,Mrazova,Jenner
,Scamurra,Hughes,Clark
,Vanisova,Darkangelo,Meixner
,Snodgrass,McMahon,Leslie
,,House,
,Roese,Harmon,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Clark,Mrazova,Jenner
,Scamurra,Hughes,Serdachny
,Vanisova,Darkangelo,Meixner
,Snodgrass,McMahon,Leslie
,Roese,Harmon,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Clark,Mrazova,Jenner
,Bach,Hughes,Serdachny
,Vanisova,Darkangelo,Meixner
,Snodgrass,McMahon,Leslie
,Roese,Larocque,
,Tejralova,Savolainen,
,Markowski,Bell,
,,,
12:00 AM,Clark,Hughes,Jenner
,Vanisova,Darkangelo,Meixner
,Bach,Serdachny,McMahon
,Snodgrass,House,Leslie
,Markowski,Bell,
,Tejralova,Boyd,
,Isbell,Larocque,
,,,
12:00 AM,Clark,Hughes,Jenner
,Vanisova,Darkangelo,McMahon
,Bach,Serdachny,Leslie
,Snodgrass,House,
,Markowski,Bell,
,Tejralova,Boyd,
,Isbell,Larocque,
,Adolfsson,,
,,,
12:00 AM,Clark,Hughes,Jenner
,Vanisova,Darkangelo,House
,Bach,Serdachny,McMahon
,Snodgrass,Vasko,Leslie
,Markowski,Bell,
,Tejralova,Savolainen,
,Boyd,Laroque,
,Isbell,,
,,,
12:00 AM,Clark,Hughes,Jenner
,Meixner,Darkangelo,Vanisova
,Bach,Serdachny,McMahon
,Snodgrass,Vasko,Leslie
,Tejralova,Larocque,
,Markowski,Roese,
,Savolainen,Bell,
,Boyd,,
,,,
12:00 AM,Clark,Hughes,Jenner
,Meixner,Darkangelo,Vanisova
,Bach,Serdachny,McMahon
,Snodgrass,Vasko,Leslie
,Tejralova,Larocque,
,Markowski,Roese,
,Savolainen,Bell,
